Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
555,-54,2,1570.111363,48,9,,
556,-56,1,494.266505,50,7,,
557,-51,1,1988.477017,47,7,,
558,-48,2,1449.638953,47,8,,
559,-53,1,593.77711,39,6,,
560,-49,2,3653.525141,49,8,,
561,-54,2,1534.937744,47,8,,
562,-55,0,486.523925,42,6,,
563,-52,6,13772.631641,68,15,,
564,-54,0,443.891308,41,6,,
565,-53,1,1400.795136,47,8,,
566,-55,1,760.594196,45,7,,
567,-41,7,28266.355864,55,17,,
568,-48,4,13821.289387,40,11,,
569,-43,2,5582.512053,49,8,,
570,-55,0,621.29724,43,6,,
571,-57,1,1050.2454,48,7,,
572,-49,1,1646.32512,46,7,,
573,-55,0,419.456428,43,6,,
574,-55,1,540.010862,45,7,,
575,-55,0,436.156827,42,6,,
576,-52,3,993.847943,54,10,,
577,-58,1,467.125831,51,7,,
578,-56,1,485.059873,49,7,,
579,-48,2,1576.126917,41,9,,
580,-52,1,460.465853,39,7,,
581,-55,0,415.786833,42,6,,
582,-49,3,4208.452671,57,11,,
583,-53,2,2777.51101,42,8,,
584,-49,4,2296.803062,54,11,,
585,-50,1,2074.640874,46,7,,
586,-56,2,2678.274085,52,10,,
587,-54,3,467.809816,46,8,,
588,-56,0,490.763047,44,6,,
589,-53,1,2686.893544,44,8,,
590,-53,3,1117.782284,57,9,,
591,-41,5,15665.807859,56,13,,
592,-53,3,2909.289542,44,11,,
593,-45,4,10507.310288,64,13,,
594,-59,2,463.798856,54,8,,
595,-48,4,9613.479302,54,11,,
596,-55,2,4116.564547,57,10,,
597,-57,1,461.143259,49,7,,
598,-52,1,956.895864,41,7,,
599,-50,2,1463.249713,50,8,,
600,-56,2,3095.182325,46,8,,
601,-54,1,907.691269,44,7,,
602,-55,0,441.911179,43,6,,
603,-57,1,2123.118634,51,8,,
604,-58,2,2244.77753,56,9,,
605,-51,2,5652.900505,48,10,,
606,-48,2,6416.480524,59,10,,
607,-52,6,15495.799,60,15,,
608,-54,0,867.360948,41,6,,
609,-54,1,1071.285439,48,8,,
610,-55,1,2679.931765,46,8,,
611,-55,3,10190.761112,68,12,,
612,-54,0,460.537089,42,6,,
613,-56,1,1536.252286,48,8,,
614,-55,0,444.172883,42,6,,
615,-44,2,6168.931868,49,9,,
616,-51,1,3846.094843,50,8,,
617,-49,1,5148.447165,55,8,,
618,-51,2,4011.777957,53,9,,
619,-49,3,4694.864133,45,9,,
620,-56,2,742.75903,47,7,,
621,-55,2,4812.536827,49,9,,
622,-54,3,11738.977368,70,11,,
623,-42,6,15891.973113,74,14,,
624,-53,1,548.009648,43,7,,
625,-54,3,3695.104259,43,8,,
626,-56,4,7915.698135,50,12,,
627,-59,1,1613.973636,55,8,,
628,-53,4,3912.199498,47,11,,
629,-54,0,397.924227,40,6,,
630,-48,5,15621.158367,51,12,,
631,-52,2,6360.97677,59,10,,
632,-56,6,16201.391576,59,14,,
633,-51,2,4490.018967,49,10,,
634,-54,0,417.062148,42,6,,
635,-52,2,3516.150895,54,10,,
636,-46,11,25661.972289,90,21,,
637,-44,9,21178.442662,50,17,,
638,-49,13,44567.267171,107,26,,
639,-55,0,457.84094,43,6,,
640,-55,0,493.068511,43,6,,
641,-50,1,551.843724,42,7,,
642,-48,2,3242.187376,53,10,,
643,-53,4,9751.84058,56,13,,
644,-56,3,11658.971074,57,12,,
645,-51,3,14222.236751,62,11,,
646,-55,0,428.180941,42,6,,
647,-54,0,399.729739,41,6,,
648,-55,2,1293.425466,45,7,,
649,-52,2,527.518787,41,7,,
650,-55,0,435.53741,43,6,,
651,-51,1,1383.970004,48,7,,
652,-51,5,17493.699417,51,13,,
653,-48,1,2561.544732,45,7,,
654,-54,0,420.90737,42,6,,
655,-57,2,3584.776399,54,9,,
656,-48,1,8068.820286,54,8,,
657,-55,0,470.506389,42,6,,
658,-58,6,1764.671184,62,13,,
659,-55,0,474.736508,42,6,,
660,-51,6,21802.994194,61,15,,
661,-49,2,9619.743291,63,10,,
662,-49,2,5432.200513,40,9,,
663,-49,5,10169.326876,64,13,,
664,-46,7,29561.983415,79,19,,
665,-52,2,1461.264412,51,9,,
666,-49,2,3219.634377,50,8,,
667,-46,3,3374.746147,51,12,,
668,-53,8,26249.31804,64,16,,
669,-47,5,9037.457416,63,13,,
670,-49,6,9291.12031,55,13,,
671,-45,3,9555.246055,51,11,,
672,-53,3,3439.349322,47,9,,
673,-54,3,6513.841952,53,10,,
674,-61,3,6767.144973,60,11,,
675,-48,3,7237.415081,51,11,,
676,-51,3,10492.32464,57,11,,
677,-55,3,4672.202482,52,11,,
678,-49,3,2175.316459,56,11,,
679,-55,1,2326.528332,43,7,,
680,-50,5,13592.139937,65,14,,
681,-45,2,8167.043203,58,9,,
682,-46,5,12275.049392,51,14,,
683,-50,1,3944.49619,50,8,,
684,-58,5,1550.968236,56,11,,
685,-57,1,541.948115,49,7,,
686,-49,9,30109.9561,58,19,,
687,-50,1,1947.640615,43,8,,
688,-55,4,1507.02605,56,11,,
689,-56,1,1666.092944,47,8,,
690,-35,30,81066.499572,84,46,,
691,-40,3,14040.718729,70,11,,
692,-41,4,8750.442457,51,12,,
